contig	HOT224_1_0025m	HOT224_1_0045m	HOT224_1_0075m	HOT224_1_0125m	HOT224_1_0200m	HOT224_1_0500m	HOT224_1_0770m	HOT224_1_1000m	HOT225_1_0025m	HOT225_1_0045m	HOT225_1_0075m	HOT225_1_0125m	HOT225_1_0200m	HOT225_1_0500m	HOT225_1_0770m	HOT225_1_1000m	HOT226_1_0025m	HOT226_1_0045m	HOT226_1_0075m	HOT226_1_0200m	HOT226_1_0500m	HOT226_1_0770m	HOT226_1_1000m	HOT227_1_0025m	HOT227_1_0045m	HOT227_1_0075m	HOT227_1_0125m	HOT227_1_0770m	HOT229_1_0025m	HOT229_1_0125m	HOT229_1_0200m	HOT229_1_0500m	HOT229_1_1000m	HOT229_2_0025m	HOT229_2_0500m	HOT229_2_0770m	HOT229_3_0500m	HOT231_1_0025m	HOT231_1_0075m	HOT231_1_0125m	HOT231_1_0200m	HOT231_1_0500m	HOT231_1_0770m	HOT231_1_1000m	HOT231_2_0025m	HOT231_2_0125m	HOT232_1_0025m	HOT232_1_0075m	HOT232_1_0125m	HOT232_1_0200m	HOT232_1_0500m	HOT232_1_0770m	HOT232_1_1000m	HOT232_2_0500m	HOT232_3_0500m	HOT233_1_0025m	HOT233_1_0075m	HOT233_1_1000m	HOT233_1c_0125m	HOT233_1c_0200m	HOT233_1c_0770m	HOT233_2_0025m	HOT233_2c_0500m	HOT234_1_0075m	HOT234_1_0200m	HOT234_1_0500m	HOT234_1_0770m	HOT234_1_1000m	HOT234_2_0025m	HOT234_2_0075m	HOT234_2_0125m	HOT234_2_0200m	HOT234_3_0025m	HOT236_1_0025m	HOT236_1_0075m	HOT236_1_0125m	HOT236_1_0200m	HOT236_1_0500m	HOT236_1_1000m	HOT236_2_0500m	HOT236_2_0770m	HOT237_1_0025m	HOT237_1_0075m	HOT237_1_0200m	HOT237_1_0500m	HOT237_1_0770m	HOT237_1_1000m	HOT237_2_0075m	HOT237_2_0500m	HOT237_2_0770m	HOT237_3_0025m	HOT237_3_0125m	HOT237_3_0500m	HOT238_1_0025m	HOT238_1_0075m	HOT238_1_0500m	HOT238_1_1000m	HOT238_1c_0125m	HOT238_1c_0200m	HOT238_2_0500m	HOT238_2_0770m	
c_000000000001	0	0	0	0	0.00433838	0	0	0	0	0	0	0.047232	0	0	0	0	0	0	0	0.0695375	0	0	0	0	0	0	0	0	0	0.049341	0.000172808	0	0	0	0	0	0	0	0	0	0.0234557	0	0	0	0	0.0106872	0	0	0.0371782	0.00512438	0	0	0	0	0	0	0	0	0.000620222	0.02531	0	0	0	0	0.0202626	0	0	0	0	0	0.0966676	0.0208876	0	0	0	0.0501236	0.015535	0	0	0	0	0	0	0.00787833	0	0	0	0	0	0	0	0.0222362	0.0343266	0	0	0	0	0.0148291	0.038635	0	0	
c_000000000002	0.0186174	0.0117366	0.0389788	0.0302037	6.82898e-05	0	0	0	0.0209647	0.015959	0.0700529	0.0219785	0	0	0	0	0.00570314	0.00755643	0.0313493	0	0	0	0	0.0267728	0.0370288	0.0244604	0.10414	0	0.0186311	0.014398	0.000857162	0	0	0.010152	0	0	0	0.0474766	0.0114104	0.118975	0.000337422	0	0	0	0.0203814	0.0650393	0.0077867	0.0446777	0.00596882	0.000886883	0	0	0	0	0	0.00629215	0.0489662	0	0.0423574	0.00154767	0	0.019558	0	0.0322585	0.000260921	0	0	0	0.00739678	0.0337879	0.00471235	0	0.00482942	0.00956835	0.0506348	0.0186832	0	0	0	0	0	0.128855	0.0820007	0	0	0	0	0.0416666	0	0	0.0542964	0.052435	0	0.0184563	0.0209676	0	0	0.0103367	0.000696297	0	0	
c_000000000003	0	0	0	0.0148855	0.0110823	0	0	0	0	0	0	0.0276081	0.0186445	0	0	0	0	0	0	0.0686418	0	0	0	0	0	0	0.0282709	0	2.85827e-05	0.119367	0.00342297	0	0	0	0	0	0	0	0	0.21658	0.00422949	0	0	0	0	0.105972	0	0	0.123048	0.000939816	0	0	0	0	0	0	0	0	0.0210946	0.00050734	0	0	0	0	1.96301e-05	0	0	0	0	0	0.0323054	0	0	0	0.000100488	0.0401731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505135	0	0	0	0	0	0.0606817	0.00514516	0	0	
c_000000000004	0.0447792	0.0389467	0.0418734	0.0160528	0	0	0	0	0.0286859	0.0316769	0.025326	0.000368565	0	0	0	0	0.00914624	0.0136078	0.0169376	0	0	0	0	0.022656	0.0263903	0.0153042	0.00314519	0	0.0147295	0.000522461	0	0	0	0.00929746	0	0	0	0	0.015202	0	0	0	0	0	0.0248424	0.000193717	0.00957112	0.0202973	0	0	0	0	0	0	0	0.359389	0.0693829	0	0.00781583	0	0	0.0908234	0	0.0180101	0	0	0	0	0.0206203	0.0257918	0.000127366	0	0.0175282	0.00334558	0.00251945	0	0	0	0	0	0	0	0.0206376	0	0	0	0	0.0153251	0	0	0.0118207	0	0	0.0125971	0.0251394	0	0	0.000522597	0	0	0	
c_000000000005	0.0243931	0.0218498	0.0292033	0.0220487	0	0	0	0	0.0189482	0.0183648	0.026114	0.000847863	0	0	0	0	0.00209228	0.00252564	0.0132494	0	0	0	0	0.0252228	0.026388	0.0250594	0.00333676	0	0.012301	0.00105613	0	0	0	0.0125751	0	0	0	0	0.00726908	0	0	0	0	0	0.0215146	1.22859e-06	5.27107e-05	0.00679661	0.000141588	0	0	0	0	0	0	0.0234509	0.0551095	0	0.00848455	0	0	0.0605	0	0.0107083	0	0	0	0	0.00124512	0.0110687	2.20097e-05	0	0.00336333	0.00143377	0.000494006	0	0	0	0	0	0	0.00444012	0.0203128	0	0	0	0	0.0277298	0	0	0.0270255	0	0	0.0125182	0.0241685	0	0	0.000253841	0	0	0	
c_000000000006	5.21605e-05	0	0.000357695	0.00160014	2.19492e-05	0	0	0	0	0	0.000590345	0.012883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174926	0	0.000823855	0.00469359	0.000294596	0	0	5.71e-05	0	0	0	0	0	0	0.00784467	0	0	0	0	0.00119804	0	0	0.00252757	0.00279283	0	0	0	0	0	0	0.000655871	0	0.00760918	0.00788189	0	0	0	0.000828239	0.0125607	0	0	0	0	0.00164276	0.013854	0.0112631	0	0	0	0.00219662	0.00872401	0	0	0	0	0	0	0.00713914	0	0	0	0	0	0	0	0.00187186	0	0	0	0	0	0.0033368	0.0211795	0	0	
c_000000000007	0	0	0	0	0	0.0348525	0	0	0	0	0	0	0.00376149	0.0274847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0863001	0	0	0	0.00814464	0	0.0163746	0	0	0	0.0368199	0.0548629	0	0	0	0	0	0	0	0.0788139	0	0	0	0	0.000334314	0	0	0	0	0.0399085	0	0	0	0	0.0790957	0	0	0	0	0	0	0.0695004	0	0	0	0	0.133222	0.00185593	0	0.00556577	0	0	0	0.209758	0	0	0	0	0	0	0	0	0	0	0	0.00149886	0	0	0.0594127	0.00689138	0	
c_000000000008	0.00807787	0.00720471	0.00446332	0	0	0	0	0	0.0049881	0.0104909	0	0	0	0	0	0	0.0284463	0.0358258	0.017375	0	0	0	0	0.0140836	0.011753	0.00487176	0	0	0.00635768	0	0	0	0	0.0064943	0	0	0	0	0.0152434	0	0	0	0	0	0.00325749	0	0.0466944	0.0506236	0	0	0	0	0	0	0	0	0.0121889	0	0	0	0	0.0639569	0	0.0143237	0	0	0	0	0.200959	0.0160536	0	0	0.178436	0.072769	0.0242399	0	0	0	0	0	0	0	0	0	0	0	0	0.0297107	0	0	0.0153434	0	0	0.00295748	0.00166423	0	0	0	0	0	0	
c_000000000009	0	0	0	0	0.0430731	0	0	0	0	0	0	0	0.0470016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171847	0	0	0	0	0	0	0	0	0	0.0764121	0	0	0	0	0	0	0	0	0.0293618	0	0	0	0	0	0	0	0	0	0.0426038	0	0	0	0	0.000937583	0	0	0	0	0	0	0	0	0	0	0	0.0198229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0253906	0	0	
c_000000000010	0	0	0	0	0.109219	0	0	0	0	0	0	0.0109307	0.0915295	0	0	0	0	0	0	0.00367612	0	0	0	0	0	0	0	0	0	0	0.00257146	0	0	0	0	0	0	0	0	0	0.0196373	0	0	0	0	0	0	0	0	0.00536686	0	0	0	0	0	0	0	0	0	0.0156939	0	0	0	0	0.000789389	0	0	0	0	0	0.00150357	0	0	0	0	0.0864527	0.00364935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227406	0	0	0	0	0	0.0822277	0.00868465	0	0	
